x,y
0,3
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,5
13,6
14,6
15,7
16,7
17,7
18,7
19,7
20,7
21,7
22,7
23,7
24,8
25,8
26,8
27,9
28,9
29,11
30,12
31,12
32,13
33,14
34,14
35,14
36,14
37,15
38,15
39,17
40,19
41,19
42,19
43,21
44,21
45,21
46,21
47,22
48,22
49,23
50,23
51,25
52,25
53,26
54,28
55,28
56,28
57,29
58,31
59,32
60,33
61,33
