x,y
0,4
1,4
2,4
3,4
4,4
5,5
6,6
7,6
8,6
9,6
10,7
11,8
12,9
13,9
14,9
15,9
16,9
17,9
18,9
19,10
20,12
21,12
22,13
23,13
24,14
25,14
26,15
27,15
28,16
29,17
30,17
31,19
32,19
33,21
34,23
35,24
36,24
37,26
38,27
39,30
40,34
41,36
42,37
43,38
44,38
45,39
46,42
47,44
48,48
49,48
50,50
51,53
52,54
53,54
54,56
55,57
56,57
57,58
58,58
59,60
60,62
61,63
62,64
