x,y
0,1
1,2
2,2
3,3
4,5
5,6
6,8
7,8
8,8
9,8
10,9
11,14
12,16
13,19
14,21
15,25
16,27
17,34
18,43
19,53
20,61
21,70
22,77
23,100
24,110
25,117
26,133
27,150
28,169
29,192
30,215
31,239
32,259
33,293
34,320
35,351
36,384
37,415
38,446
39,487
40,524
41,559
42,597
43,645
44,672
45,695
46,722
47,748
48,765
49,788
50,812
51,838
52,862
53,883
54,899
55,912
56,925
57,939
58,949
59,958
60,968
61,975
