x,y
0,2
1,2
2,2
3,2
4,3
5,3
6,3
7,3
8,5
9,5
10,5
11,5
12,5
13,6
14,6
15,6
16,6
17,8
18,8
19,9
20,9
21,11
22,11
23,12
24,13
25,16
26,16
27,16
28,17
29,17
30,20
31,20
32,20
33,20
34,20
35,20
36,23
37,24
38,25
39,27
40,29
41,30
42,31
43,32
44,32
45,33
46,34
47,35
48,36
49,38
50,41
51,45
52,50
53,52
54,53
55,56
56,58
57,59
58,65
59,68
60,69
61,69
62,79
