x,y
0,1
1,1
2,3
3,3
4,4
5,7
6,8
7,12
8,12
9,13
10,18
11,23
12,32
13,33
14,34
15,35
16,35
17,38
18,39
19,40
20,40
21,42
22,42
23,42
24,42
25,44
26,45
27,49
28,53
29,54
30,54
31,55
32,57
33,58
34,58
35,60
36,64
37,67
38,68
39,71
40,73
41,73
42,73
43,77
44,77
45,81
46,86
47,88
48,88
49,92
50,94
51,101
52,104
53,104
54,107
55,109
56,113
57,117
58,123
59,127
60,128
61,136
