x,y
0,3
1,4
2,4
3,5
4,5
5,5
6,5
7,6
8,11
9,11
10,11
11,13
12,14
13,17
14,20
15,27
16,29
17,37
18,42
19,45
20,54
21,62
22,68
23,80
24,98
25,109
26,115
27,118
28,121
29,124
30,135
31,139
32,144
33,150
34,156
35,160
36,171
37,176
38,185
39,189
40,191
41,197
42,202
43,210
44,216
45,218
46,224
47,232
48,239
49,244
50,250
51,255
52,262
53,270
54,277
55,284
56,290
57,300
58,305
59,310
60,314
61,323
